player,pts,m. won,draws,m. lost,wins,loses,2x0,sweep,reverse,round
Filipe,13,4,1,0,8,2,3,0,0,1
Regly,12,4,0,1,8,2,4,0,0,1
Chris,10,3,1,1,7,4,2,0,0,1
Hards,4,1,1,3,3,7,1,0,0,1
Lucas,3,1,0,4,2,7,1,0,0,1
Antonio,1,0,1,4,3,9,0,0,0,1
Filipe,23,7,2,1,15,5,6,0,0,2
Chris,19,6,1,3,14,8,5,0,0,2
Regly,16,5,1,4,12,9,5,0,0,2
Hards,13,4,1,5,9,13,2,0,0,2
Antonio,10,3,1,6,9,14,2,0,0,2
Lucas,5,1,2,7,5,15,1,0,0,2
Filipe,34,10,4,1,23,7,9,0,0,3
Chris,32,10,2,3,23,10,8,0,0,3
Regly,17,5,2,8,14,18,5,0,0,3
Antonio,17,5,2,8,14,21,2,0,0,3
Hards,16,5,1,9,14,21,3,0,0,3
Lucas,12,3,3,9,11,22,1,0,0,3
